Run_ID	 duration	 Date_CV        	 Date_Err	 OK   	 LOST 	 Reco_CV	 After_Zneg	 nS1_0	 nS1_1	 nS1_NOPolike	 After_S1	 After_S2	 nElectron	 Clean_nElectron	 nElectron_Trg2	 nElectron_Fiducial	 nElectron_Tube	 nElectron_Anode	 nElectron_Cathode	 nAlpha	 Clean_nAlpha	 nAlpha_Trg2	 nAlpha_Fiducial	 nAlpha_Tube	 nAlpha_Anode	 nAlpha_Cathode
 15694	    86542	 1757724620.5330	 197.3781	 29877	  9894	   29474	      21747	  2380	 18102	        15906	    18286	    16038	     11738	           11734	           8895	                234	           6812	             994	               855	   4300	         4298	        4268	             888	         514	          108	           2758
 15695	    86075	 1757811052.4421	 195.1705	 30004	  9982	   29650	      21875	  2351	 18477	        16218	    18569	    16352	     11768	           11765	           8937	                235	           6910	             957	               835	   4584	         4583	        4559	             970	         561	          134	           2894
 15696	    87682	 1757898558.6075	 197.4457	 30263	 10084	   29899	      21895	  2471	 18308	        16067	    18538	    16287	     11808	           11798	           8901	                243	           6771	            1034	               853	   4479	         4476	        4441	             887	         542	          149	           2863
 15697	    86373	 1757985689.3233	 196.9017	 29462	  9872	   29138	      21365	  2317	 17988	        15743	    18060	    15978	     11640	           11631	           8854	                269	           6804	             961	               820	   4338	         4337	        4317	             817	         545	          126	           2829
 15698	    90027	 1758075866.2366	 195.3300	 31671	 10056	   31257	      22908	  2590	 19210	        16890	    19480	    17872	     12983	           12971	           9829	                289	           7454	            1127	               959	   4889	         4887	        4848	             953	         585	          149	           3161
 15699	    86278	 1758164157.3363	 193.0987	 30129	  9810	   29758	      21802	  2439	 18259	        16018	    18457	    16962	     12283	           12280	           9308	                246	           7124	            1034	               904	   4679	         4677	        4650	            1013	         533	          124	           2980
 15700	    86613	 1758250680.4558	 193.5617	 30194	  9827	   29830	      21905	  2484	 18381	        16126	    18610	    16997	     12388	           12381	           9455	                268	           7212	            1046	               929	   4609	         4608	        4580	             926	         574	          151	           2929
 15701	    87385	 1758335647.2331	 187.8987	 28775	  9605	   28483	      20808	  2285	 17526	        15414	    17699	    16211	     11761	           11756	           8868	                247	           6779	             956	               886	   4450	         4448	        4422	             882	         550	          137	           2853
 15709	    57503	 1758424627.6722	 154.8725	 20381	  6441	   19941	      14706	  1593	 12530	        10924	    12517	    11507	      8368	            8362	           6268	                152	           4842	             692	               582	   3139	         3137	        3117	             585	         409	           93	           2030
 15724	    66550	 1758499023.1681	 167.0259	 23477	  7439	   23195	      17075	  1980	 14190	        12387	    14367	    13211	      9638	            9630	           7208	                184	           5470	             884	               670	   3573	         3571	        3543	             701	         453	           91	           2298
 15729	    85812	 1758593262.6444	 194.8252	 30016	  9663	   29613	      21803	  2441	 18176	        15842	    18283	    16229	     11733	           11728	           8926	                213	           6867	             969	               877	   4496	         4491	        4464	             915	         583	          155	           2811
 15730	    87572	 1758680293.0736	 193.6686	 30329	  9960	   30017	      22188	  2370	 18810	        16478	    18848	    16768	     12135	           12129	           9236	                252	           7174	             996	               814	   4633	         4633	        4605	             969	         558	          138	           2940
 15731	    86561	 1758767001.4304	 194.0971	 30155	  9790	   29765	      21928	  2359	 18424	        16179	    18538	    16496	     11903	           11892	           8975	                249	           6878	             989	               859	   4593	         4593	        4564	             945	         525	          122	           2972
 15732	    85314	 1758853260.4457	 193.2805	 29641	  9508	   29319	      21600	  2380	 18235	        15957	    18337	    16389	     11843	           11836	           8982	                247	           6927	            1044	               764	   4546	         4545	        4504	             914	         506	          152	           2932
 15733	    86919	 1758939445.0071	 193.8304	 30475	 10027	   30144	      22120	  2437	 18639	        16226	    18663	    16636	     12087	           12081	           9212	                241	           7054	            1060	               857	   4549	         4549	        4527	             916	         547	          147	           2917
 15734	    85790	 1759026072.8044	 195.0733	 29837	  9598	   29513	      21813	  2406	 18158	        15869	    18275	    16330	     11888	           11874	           8919	                212	           6863	            1010	               834	   4442	         4439	        4414	             852	         546	          113	           2903
 15735	    87451	 1759112702.4595	 194.4310	 30547	  9958	   30193	      22198	  2495	 18665	        16315	    18810	    16751	     12225	           12216	           9203	                235	           7100	            1008	               860	   4526	         4525	        4505	             868	         534	          145	           2958
 15736	    93376	 1759203670.1769	 199.6325	 32622	 10506	   32243	      23718	  2576	 20112	        17704	    20280	    18131	     13193	           13185	           9976	                252	           7721	            1081	               922	   4938	         4934	        4903	            1003	         539	          127	           3234
 15737	    52343	 1759276308.2348	 148.7247	 18365	  5844	   18192	      13440	  1456	 11319	         9993	    11449	    10223	      7322	            7319	           5431	                161	           4152	             589	               529	   2901	         2898	        2878	             620	         306	           77	           1875
